"SADAD Payment Gateway","بوابة الدفع سداد"
"Secure Payment via SADAD","الدفع الآمن عبر سداد"
"You will be redirected to SADAD's secure payment gateway to complete your purchase. Your payment details are protected with bank-level encryption.","سيتم توجيهك إلى بوابة الدفع الآمنة لسداد لإتمام عملية الشراء. تتمتع بيانات الدفع الخاصة بك بحماية بمستوى التشفير المصرفي."
"Embedded secure checkout powered by SADAD.","صفحة دفع آمنة مدمجة مشغلة بواسطة سداد."
"Accepts: Visa, Mastercard, NAPS (Qatar local cards), and internet banking.","يقبل: فيزا، ماستركارد، NAPS (البطاقات المحلية القطرية)، والخدمات المصرفية عبر الإنترنت."
"Redirecting to SADAD...","جارٍ التوجيه إلى سداد..."
"Pay with SADAD","الدفع عبر سداد"
"Place Order","تأكيد الطلب"
"Redirecting to SADAD Payment Gateway...","جارٍ التوجيه إلى بوابة الدفع سداد..."
"Redirecting to SADAD","جارٍ التوجيه إلى سداد"
"Please wait. You are being redirected to the SADAD secure payment gateway.","يرجى الانتظار. جارٍ توجيهك إلى بوابة الدفع الآمنة لسداد."
"Do not close or refresh this page.","لا تغلق هذه الصفحة أو تقوم بتحديثها."
"No order found. Please try again.","لم يتم العثور على طلب. يرجى المحاولة مرة أخرى."
"Payment method mismatch.","عدم تطابق طريقة الدفع."
"Could not redirect to payment gateway. Please try again.","تعذّر التوجيه إلى بوابة الدفع. يرجى المحاولة مرة أخرى."
"An error occurred processing your payment.","حدث خطأ أثناء معالجة دفعتك."
"Payment verification failed. Please contact support.","فشل التحقق من الدفع. يرجى التواصل مع الدعم."
"Your payment was successful. Thank you for your order.","تمت عملية الدفع بنجاح. شكراً لطلبك."
"Payment was not completed. %1","لم تكتمل عملية الدفع. %1"
"SADAD transaction number not found. Cannot process refund.","لم يتم العثور على رقم معاملة سداد. لا يمكن معالجة الاسترداد."
"SADAD refund failed: %1","فشل الاسترداد عبر سداد: %1"
"SADAD refund error: %1","خطأ في استرداد سداد: %1"
"Refund could not be processed: %1","تعذّرت معالجة الاسترداد: %1"
"SADAD configuration error: %1","خطأ في إعداد سداد: %1"
"Could not initiate SADAD payment: %1","تعذّر بدء عملية الدفع عبر سداد: %1"
"Order was not paid with SADAD. Cannot refund via SADAD.","لم يتم سداد هذا الطلب عبر سداد. لا يمكن إجراء الاسترداد عبر سداد."
"No SADAD transaction number on record. Cannot process refund.","لا يوجد رقم معاملة سداد مسجّل. لا يمكن معالجة الاسترداد."
"Order cannot be refunded in its current state: %1","لا يمكن استرداد الطلب في حالته الحالية: %1"
"No invoice found for this order. Credit memo cannot be created.","لم يتم العثور على فاتورة لهذا الطلب. لا يمكن إنشاء مذكرة الائتمان."
"Order ID %1 not found.","لم يتم العثور على طلب برقم %1."
"SADAD Transaction","معاملة سداد"
"Invoice Number","رقم الفاتورة"
"Gateway Response","استجابة البوابة"
"Mode","الوضع"
"TEST / SANDBOX","اختبار / بيئة تجريبية"
"Copy","نسخ"
"Copied!","تم النسخ!"
"Configure this URL in your SADAD merchant portal under Webhook / IPN settings.","قم بإعداد هذا الرابط في بوابة التاجر الخاصة بسداد ضمن إعدادات Webhook / IPN."
"SADAD will POST the payment result to this URL. This is configured automatically.","ستقوم سداد بإرسال نتيجة الدفع إلى هذا الرابط. يتم ضبطه تلقائياً."
"Copy this URL and paste it into your SADAD merchant portal as the Webhook Notification URL.","انسخ هذا الرابط والصقه في بوابة التاجر الخاصة بسداد كرابط إشعار Webhook."
"This URL is automatically configured as the CALLBACK_URL for all SADAD transactions.","يتم ضبط هذا الرابط تلقائياً كـ CALLBACK_URL لجميع معاملات سداد."
